Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-07-28 20:14:20,"Ben",7m,"Squat (Barbell)",1,110.0,6,0,0,"","",
2022-07-28 20:14:20,"Ben",7m,"Squat (Barbell)",2,90.0,12,0,0,,,
2022-07-28 20:14:20,"Ben",7m,"Leg Extension (Machine)",1,57.5,12,0,0,"",,
2022-07-28 20:14:20,"Ben",7m,"Leg Extension (Machine)",2,42.0,20,0,0,,,
2022-07-28 20:14:20,"Ben",7m,"Seated Leg Curl (Machine)",1,65.0,12,0,0,"",,
2022-07-28 20:14:20,"Ben",7m,"Seated Leg Curl (Machine)",2,57.5,15,0,0,,,
2022-07-28 20:14:20,"Ben",7m,"Standing Calf Raise (Barbell)",1,105.0,8,0,0,"",,
2022-07-28 20:14:20,"Ben",7m,"Standing Calf Raise (Barbell)",2,80.0,17,0,0,,,
2022-07-28 20:14:20,"Ben",7m,"Hip Abductor (Machine)",1,42.0,12,0,0,"",,
2022-07-28 20:14:20,"Ben",7m,"Hip Abductor (Machine)",2,36.0,16,0,0,,,
2022-07-29 17:12:17,"Armar och axlar",3m,"Shoulder Press (Machine)",1,51.25,8,0,0,"","",
2022-07-29 17:12:17,"Armar och axlar",3m,"Shoulder Press (Machine)",2,45.0,8,0,0,,,
2022-07-29 17:12:17,"Armar och axlar",3m,"Reverse Fly (Machine)",1,83.75,6,0,0,"",,
2022-07-29 17:12:17,"Armar och axlar",3m,"Reverse Fly (Machine)",2,60.75,16,0,0,,,
2022-07-29 17:12:17,"Armar och axlar",3m,"Preacher Curl (Machine)",1,62.5,12,0,0,"",,
2022-07-29 17:12:17,"Armar och axlar",3m,"Preacher Curl (Machine)",2,48.5,20,0,0,,,
2022-07-29 17:12:17,"Armar och axlar",3m,"Triceps Pushdown (Cable - Straight Bar)",1,100.0,7,0,0,"",,
2022-07-29 17:12:17,"Armar och axlar",3m,"Triceps Pushdown (Cable - Straight Bar)",2,36.25,12,0,0,,,
2022-07-29 17:12:17,"Armar och axlar",3m,"Triceps Extension (Cable)",1,12.5,9,0,0,"",,
2022-07-29 17:12:17,"Armar och axlar",3m,"Triceps Extension (Cable)",2,7.5,13,0,0,,,
2022-07-29 17:12:17,"Armar och axlar",3m,"Bicep Curl (Cable)",1,36.25,12,0,0,"",,
2022-07-29 17:12:17,"Armar och axlar",3m,"Bicep Curl (Cable)",2,28.75,10,0,0,,,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Shoulder Press (Machine)",1,52.5,6,0,0,"","",
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Shoulder Press (Machine)",2,45.0,8,0,0,,,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Lateral Raise (Cable)",1,7.5,12,0,0,"",,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Lateral Raise (Cable)",2,5.0,20,0,0,,,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Reverse Fly (Machine)",1,83.75,11,0,0,"",,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Reverse Fly (Machine)",2,60.75,18,0,0,,,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Preacher Curl (Machine)",1,65.0,10,0,0,"",,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Preacher Curl (Machine)",2,51.0,13,0,0,,,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Triceps Pushdown (Cable - Straight Bar)",1,47.5,7,0,0,"",,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Triceps Pushdown (Cable - Straight Bar)",2,36.25,14,0,0,,,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Triceps Extension (Cable)",1,11.25,12,0,0,"",,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Triceps Extension (Cable)",2,8.75,14,0,0,,,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Bicep Curl (Cable)",1,13.75,12,0,0,"",,
2022-07-29 17:44:25,"Armar och axlar",1h 6m,"Bicep Curl (Cable)",2,11.25,17,0,0,,,
2022-08-02 16:05:48,"Armar och axlar",55m,"Shoulder Press (Machine)",1,52.5,8,0,0,"","",
2022-08-02 16:05:48,"Armar och axlar",55m,"Shoulder Press (Machine)",2,45.0,8,0,0,,,
2022-08-02 16:05:48,"Armar och axlar",55m,"Lateral Raise (Cable)",1,10.0,7,0,0,"",,
2022-08-02 16:05:48,"Armar och axlar",55m,"Lateral Raise (Cable)",2,7.5,12,0,0,,,
